"","x"
"1",20
"2",1
"3",17
"4",17
"5",1
"6",17
"7",5
"8",19
"9",19
"10",15
"11",6
"12",1
"13",5
"14",5
"15",18
"16",18
"17",1
"18",3
"19",6
"20",9
"21",1
"22",1
"23",1
"24",5
"25",1
"26",1
"27",1
"28",13
"29",17
"30",5
"31",5
"32",7
"33",5
"34",5
"35",5
"36",5
"37",2
"38",17
"39",6
"40",4
"41",15
"42",17
"43",1
"44",4
"45",18
"46",7
"47",1
"48",1
"49",2
"50",5
"51",2
"52",19
"53",18
"54",5
"55",6
"56",17
"57",1
"58",17
"59",2
"60",17
"61",2
"62",13
"63",18
"64",5
"65",7
"66",8
"67",20
"68",19
"69",1
"70",17
"71",9
"72",5
"73",1
"74",1
"75",5
"76",1
"77",13
"78",1
"79",19
"80",17
"81",1
"82",18
"83",20
"84",19
"85",1
"86",19
"87",17
"88",6
"89",17
"90",3
"91",1
"92",11
"93",5
"94",20
"95",5
"96",15
"97",18
"98",1
"99",5
"100",6
"101",5
"102",19
"103",1
"104",18
"105",1
"106",19
"107",2
"108",6
"109",5
"110",2
"111",2
"112",18
"113",18
"114",18
"115",2
"116",1
"117",5
"118",1
"119",5
"120",19
"121",1
"122",5
"123",13
"124",1
"125",18
"126",6
"127",1
"128",5
"129",13
"130",2
"131",1
"132",16
"133",11
"134",14
"135",6
"136",5
"137",1
"138",17
"139",1
"140",2
"141",15
"142",19
"143",12
"144",13
"145",7
"146",15
"147",5
"148",17
"149",6
"150",20
"151",5
"152",1
"153",11
"154",5
"155",18
"156",2
"157",19
"158",6
"159",11
"160",5
"161",5
"162",16
"163",5
"164",12
"165",17
"166",7
"167",20
"168",14
"169",13
"170",3
"171",11
"172",8
"173",5
"174",7
"175",1
"176",19
"177",2
"178",19
"179",1
"180",1
"181",11
"182",5
"183",5
"184",7
"185",9
"186",19
"187",5
"188",6
"189",3
"190",17
"191",20
"192",1
"193",19
"194",9
"195",18
"196",4
"197",19
"198",6
"199",17
"200",6
"201",1
"202",19
"203",1
"204",18
"205",8
"206",5
"207",9
"208",9
"209",5
"210",5
"211",9
"212",1
"213",12
"214",16
"215",9
"216",20
"217",2
"218",17
"219",1
"220",5
"221",9
"222",20
"223",5
"224",5
"225",13
"226",5
"227",19
"228",18
"229",1
"230",17
"231",8
"232",20
"233",5
"234",17
"235",19
"236",18
"237",1
"238",17
"239",1
"240",3
"241",19
"242",1
"243",5
"244",2
"245",5
"246",19
"247",19
"248",7
"249",9
"250",2
"251",20
"252",7
"253",5
"254",5
"255",7
"256",5
"257",19
"258",20
"259",9
"260",5
"261",1
"262",8
"263",1
"264",20
"265",7
"266",11
"267",3
"268",1
"269",6
"270",5
"271",18
"272",14
"273",3
"274",20
"275",4
"276",1
"277",11
"278",13
"279",18
"280",19
"281",11
"282",1
"283",13
"284",20
"285",19
"286",17
"287",1
"288",15
"289",5
"290",19
"291",18
"292",1
"293",17
"294",13
"295",5
"296",17
"297",1
"298",17
"299",16
"300",1
"301",18
"302",20
"303",8
"304",10
"305",14
"306",3
"307",1
"308",5
"309",5
"310",18
"311",19
"312",1
"313",6
"314",3
"315",3
"316",5
"317",17
"318",1
"319",1
"320",1
"321",5
"322",17
"323",18
"324",20
"325",1
"326",17
"327",5
"328",9
"329",11
"330",1
"331",8
"332",20
"333",19
"334",18
"335",1
"336",17
"337",19
"338",5
"339",1
"340",9
"341",9
"342",1
"343",1
"344",5
"345",5
"346",17
"347",19
"348",2
"349",9
"350",18
"351",5
"352",1
"353",1
"354",5
"355",2
"356",18
"357",9
"358",5
"359",18
"360",4
"361",19
"362",1
"363",6
"364",6
"365",5
"366",19
"367",7
"368",9
"369",20
"370",16
"371",18
"372",5
"373",19
"374",2
"375",2
"376",13
"377",19
"378",1
"379",5
"380",17
"381",3
"382",1
"383",2
"384",17
"385",19
"386",19
"387",9
"388",20
"389",7
"390",1
"391",17
"392",13
"393",1
"394",17
"395",2
"396",17
"397",18
"398",9
"399",18
"400",2
"401",18
"402",5
"403",1
"404",1
"405",6
"406",5
"407",5
"408",19
"409",9
"410",5
"411",2
"412",15
"413",17
"414",18
"415",7
"416",17
"417",5
"418",20
"419",5
"420",1
"421",6
"422",6
"423",19
"424",19
"425",17
"426",3
"427",6
"428",16
"429",5
"430",17
"431",17
"432",5
"433",17
"434",5
"435",14
"436",1
"437",18
"438",2
"439",19
"440",6
"441",6
"442",1
"443",1
"444",17
"445",17
"446",1
"447",8
"448",19
"449",5
"450",13
"451",20
"452",8
"453",15
"454",19
"455",1
"456",10
"457",1
"458",4
"459",5
"460",16
"461",19
"462",5
"463",6
"464",5
"465",6
"466",15
"467",1
"468",17
"469",5
"470",1
"471",1
"472",19
"473",5
"474",6
"475",19
"476",3
"477",5
"478",4
"479",19
"480",1
"481",1
"482",19
"483",1
"484",18
"485",1
"486",1
"487",5
"488",12
"489",15
"490",5
"491",20
"492",9
"493",17
"494",6
"495",7
"496",1
"497",5
"498",4
"499",6
"500",19
"501",5
"502",1
"503",20
"504",5
"505",1
"506",12
"507",13
"508",14
"509",18
"510",20
"511",5
"512",20
"513",9
"514",18
"515",6
"516",19
"517",6
"518",18
"519",1
"520",18
"521",13
"522",17
"523",1
"524",20
"525",5
"526",17
"527",6
"528",13
"529",5
"530",19
"531",6
"532",1
"533",5
"534",17
"535",3
"536",5
"537",1
"538",10
"539",1
"540",1
"541",5
"542",17
"543",13
"544",5
"545",19
"546",5
"547",18
"548",18
"549",9
"550",5
"551",3
"552",5
"553",19
"554",17
"555",17
"556",5
"557",5
"558",1
"559",1
"560",5
"561",5
"562",1
"563",5
"564",2
"565",1
"566",18
"567",18
"568",20
"569",4
"570",1
"571",9
"572",19
"573",5
"574",1
"575",19
"576",19
"577",1
"578",3
"579",17
"580",17
"581",16
"582",3
"583",20
"584",17
"585",1
"586",1
"587",19
"588",2
"589",19
"590",3
"591",5
"592",20
"593",5
"594",1
"595",5
"596",2
"597",1
"598",2
"599",1
"600",18
"601",16
"602",16
"603",1
"604",6
"605",17
"606",5
"607",5
"608",9
"609",18
"610",20
"611",6
"612",1
"613",19
"614",1
"615",1
"616",18
"617",5
"618",18
"619",4
"620",20
"621",1
"622",17
"623",17
"624",1
"625",19
"626",2
"627",3
"628",1
"629",4
"630",19
"631",18
"632",19
"633",17
"634",5
"635",18
"636",6
"637",5
"638",17
"639",17
"640",5
"641",5
"642",2
"643",15
"644",19
"645",17
"646",19
"647",1
"648",17
"649",5
"650",20
"651",5
"652",20
"653",1
"654",17
"655",16
"656",8
"657",11
"658",19
"659",1
"660",14
"661",1
"662",5
"663",5
"664",15
"665",5
"666",19
"667",5
"668",17
"669",5
"670",15
"671",14
"672",19
"673",6
"674",17
"675",6
"676",17
"677",14
"678",17
"679",1
"680",18
"681",1
"682",17
"683",17
"684",5
"685",5
"686",1
"687",19
"688",11
"689",5
"690",4
"691",5
"692",14
"693",1
"694",5
"695",1
"696",1
"697",19
"698",5
"699",18
"700",19
"701",3
"702",1
"703",5
"704",18
"705",1
"706",19
"707",1
"708",10
"709",18
"710",4
"711",17
"712",16
"713",18
"714",17
"715",9
"716",15
"717",2
"718",1
"719",1
"720",17
"721",1
"722",3
"723",1
"724",2
"725",1
"726",18
"727",1
"728",6
"729",7
"730",17
"731",18
"732",6
"733",3
"734",5
"735",4
"736",5
"737",20
"738",5
"739",20
"740",1
"741",18
"742",18
"743",1
"744",18
"745",20
"746",10
"747",20
"748",6
"749",6
"750",1
"751",5
"752",7
"753",9
"754",14
"755",17
"756",13
"757",2
"758",4
"759",19
"760",1
"761",5
"762",2
"763",9
"764",19
"765",5
"766",11
"767",15
"768",18
"769",19
"770",4
"771",19
"772",1
"773",5
"774",8
"775",5
"776",19
"777",5
"778",1
"779",8
"780",1
"781",2
"782",17
"783",6
"784",16
"785",19
"786",5
"787",19
"788",1
"789",18
"790",16
"791",18
"792",20
"793",2
"794",8
"795",1
"796",18
"797",1
"798",17
"799",19
"800",20
"801",17
"802",2
"803",1
"804",1
"805",1
"806",2
"807",16
"808",1
"809",16
"810",17
"811",17
"812",1
"813",7
"814",19
"815",1
"816",4
"817",6
"818",5
"819",5
"820",18
"821",1
"822",19
"823",6
"824",17
"825",4
"826",19
"827",4
"828",19
"829",1
"830",5
"831",5
"832",17
"833",15
"834",19
"835",19
"836",19
"837",5
"838",17
"839",6
"840",1
"841",5
"842",5
"843",18
"844",1
"845",1
"846",1
"847",4
"848",17
"849",5
"850",15
"851",20
"852",1
"853",1
"854",9
"855",16
"856",5
"857",17
"858",11
"859",19
"860",18
"861",19
"862",20
"863",4
"864",3
"865",1
"866",17
"867",1
"868",8
"869",11
"870",6
"871",6
"872",19
"873",18
"874",5
"875",1
"876",19
"877",10
"878",5
"879",17
"880",17
"881",5
"882",6
"883",5
"884",17
"885",1
"886",1
"887",2
"888",6
"889",1
"890",1
"891",13
"892",5
"893",1
"894",19
"895",19
"896",12
"897",2
"898",13
"899",19
"900",1
"901",1
"902",10
"903",7
"904",19
"905",1
"906",1
"907",17
"908",2
"909",10
"910",5
"911",1
"912",1
"913",7
"914",19
"915",7
"916",6
"917",8
"918",6
"919",2
"920",19
"921",17
"922",17
"923",5
"924",3
"925",2
"926",15
"927",17
"928",7
"929",1
"930",17
"931",9
"932",7
"933",3
"934",1
"935",5
"936",5
"937",19
"938",19
"939",2
"940",6
"941",5
"942",18
"943",5
"944",17
"945",1
"946",17
"947",16
"948",1
"949",9
"950",11
"951",13
"952",11
"953",7
"954",3
"955",13
"956",1
"957",17
"958",6
"959",20
"960",13
"961",9
"962",8
"963",1
"964",5
"965",1
"966",1
"967",3
"968",17
"969",17
"970",5
"971",1
"972",5
"973",7
"974",5
"975",8
"976",3
"977",1
"978",5
"979",19
"980",1
"981",13
"982",6
"983",5
"984",20
"985",9
"986",5
"987",12
"988",1
"989",1
"990",1
"991",1
"992",5
"993",17
"994",6
"995",5
"996",8
"997",18
"998",5
"999",4
"1000",5
"1001",20
"1002",16
"1003",20
"1004",1
"1005",17
"1006",5
"1007",20
"1008",15
"1009",13
"1010",18
"1011",5
"1012",5
"1013",9
"1014",5
"1015",17
"1016",2
"1017",5
"1018",17
"1019",12
"1020",1
"1021",17
"1022",17
"1023",18
"1024",5
"1025",8
"1026",4
"1027",5
"1028",1
"1029",18
"1030",19
"1031",15
"1032",20
"1033",1
"1034",17
"1035",6
"1036",1
"1037",6
"1038",1
"1039",1
"1040",17
"1041",5
"1042",15
"1043",20
"1044",2
"1045",5
"1046",5
"1047",13
"1048",18
"1049",19
"1050",19
"1051",5
"1052",17
"1053",17
"1054",5
"1055",6
"1056",18
"1057",2
"1058",7
"1059",5
"1060",6
"1061",17
"1062",1
"1063",19
"1064",5
"1065",5
"1066",1
"1067",17
"1068",20
"1069",6
"1070",10
"1071",17
"1072",5
"1073",5
"1074",1
"1075",11
"1076",5
"1077",13
"1078",5
"1079",19
"1080",8
"1081",5
"1082",5
"1083",1
"1084",5
"1085",1
"1086",1
"1087",5
"1088",12
"1089",5
"1090",1
"1091",5
"1092",2
"1093",17
"1094",5
"1095",5
"1096",1
"1097",1
"1098",9
"1099",5
"1100",19
"1101",8
"1102",1
"1103",18
"1104",17
"1105",6
"1106",20
"1107",1
"1108",19
"1109",13
"1110",17
"1111",2
"1112",5
"1113",4
"1114",5
"1115",1
"1116",6
"1117",7
"1118",5
"1119",5
"1120",16
"1121",9
"1122",17
"1123",7
"1124",20
"1125",19
"1126",19
"1127",17
"1128",6
"1129",3
"1130",5
"1131",15
"1132",2
"1133",5
"1134",5
"1135",18
"1136",5
"1137",3
"1138",5
"1139",10
"1140",5
"1141",1
"1142",15
