,X1,cause,effect,doc_ind,sentence_ind
1,0,fuse or mcb,transformer abnormal or reflash,1,1
2,1,fuse or mcb,transformer abnormal or reflash,1,1
3,2,drycol control unit defect,transformer abnormal or reflash,1,1
4,3,high resistance connection,drycol breather,2,1
5,4,drycol breather,drycol breather,2,1
6,5,damaged component,transformer abnormal or reflash,3,1
7,6,drycol control unit defect,transformer abnormal or reflash,3,1
8,7,oil level low,transformer abnormal or reflash,4,1
9,8,oil level incorrect,transformer abnormal or reflash,4,1
10,9,mechanical indicator defect,transformer abnormal or reflash,5,1
11,10,sight glass,transformer abnormal or reflash,5,1
12,11,gauge defect,transformer abnormal or reflash,5,1
13,12,oil level low,transformer other,6,1
14,13,oil level low,transformer abnormal or reflash,6,1
15,14,oil level incorrect,transformer other,6,1
16,15,oil level incorrect,transformer abnormal or reflash,6,1
17,16,damaged component,transformer abnormal or reflash,7,1
18,17,damaged component,transformer abnormal or reflash,7,1
19,20,power supply,drycol breather,8,1
20,21,power supply,drycol breather,8,1
21,22,drycol control unit defect,drycol breather,8,1
22,23,high resistance connection,exchange drycol unit,9,1
23,24,drycol breather,exchange drycol unit,9,1
24,25,high resistance connection,exchange,10,1
25,26,drycol breather,exchange,10,1
26,27,damaged component,exchange,11,1
27,28,drycol breather,exchange,11,1
28,29,damaged component,order,12,1
29,30,drycol breather,order,12,1
30,31,transformer abnormal or reflash,order,12,1
31,32,drycol breather,order,12,1
32,33,transformer abnormal or reflash,drycol breather,12,1
33,34,transformer abnormal or reflash,order,12,1
34,35,damaged component,transformer abnormal or reflash,12,1
35,36,damaged component,drycol breather,12,1
36,37,damaged component,order,12,1
37,38,drycol breather,transformer abnormal or reflash,12,1
38,39,drycol breather,drycol breather,12,1
39,40,drycol breather,order,12,1
40,41,low temperatures,low oil alarm,13,1
41,42,oil level low,low temperatures,13,1
42,43,oil level low,low oil alarm,13,1
43,44,oil level incorrect,low temperatures,13,1
44,45,oil level incorrect,low oil alarm,13,1
45,46,transformer abnormal or reflash,oil level low,14,1
46,47,transformer abnormal or reflash,oil level low,14,1
47,49,oil level low,transformer abnormal or reflash,14,1
48,50,oil level low,oil level low,14,1
49,51,oil level incorrect,oil level low,14,1
50,52,oil level incorrect,transformer abnormal or reflash,14,1
51,53,oil level incorrect,oil level low,14,1
52,55,oil level low,oil level incorrect,15,1
53,56,oil level low,transformer abnormal or reflash,16,1
54,57,oil level low,alarm,16,1
55,58,oil level incorrect,transformer abnormal or reflash,16,1
56,59,oil level incorrect,alarm,16,1
57,60,oil level low,transformer abnormal or reflash,17,1
58,61,oil level incorrect,transformer abnormal or reflash,17,1
59,62,oil level low,transformer abnormal or reflash,18,1
60,63,oil level incorrect,transformer abnormal or reflash,18,1
61,64,seal integrity defect,transformer abnormal or reflash,19,1
62,65,seal integrity defect,transformer abnormal or reflash,19,1
63,66,sight glass,transformer abnormal or reflash,19,1
64,67,sight glass,transformer abnormal or reflash,19,1
65,68,gauge defect,transformer abnormal or reflash,19,1
66,69,gauge defect,transformer abnormal or reflash,19,1
67,70,high resistance connection,transformer abnormal or reflash,20,1
68,71,drycol breather,transformer abnormal or reflash,20,1
69,72,high resistance connection,drycol breather,21,1
70,73,damaged component,exchange drycol breather,22,1
71,74,drycol breather,exchange drycol breather,22,1
72,75,calibration,transformer abnormal or reflash,23,1
73,76,calibration,oil level low,23,1
74,77,sight glass,transformer abnormal or reflash,23,1
75,78,sight glass,oil level low,23,1
76,79,gauge defect,transformer abnormal or reflash,23,1
77,80,gauge defect,oil level low,23,1
78,82,oil level low,oil level incorrect,24,1
79,83,conservator operated,low oil alarm,24,2
80,84,oil level low,low oil alarm,24,2
81,85,low oil alarm,oil level incorrect,24,2
82,86,conservator operated,oil level incorrect,24,2
83,88,seal integrity defect,sight glass,25,2
84,89,seal integrity defect,gauge defect,25,2
85,90,crack,new gaskets fitted,26,1
86,91,seal integrity defect,crack,26,1
87,92,seal integrity defect,new gaskets fitted,26,1
88,93,sight glass,crack,26,1
89,94,sight glass,new gaskets fitted,26,1
90,95,gauge defect,crack,26,1
91,96,gauge defect,new gaskets fitted,26,1
92,97,damaged component,transformer abnormal or reflash,27,1
93,98,damaged component,transformer abnormal or reflash,27,1
94,99,drycol breather,transformer abnormal or reflash,27,1
95,100,drycol breather,transformer abnormal or reflash,27,1
96,101,rectify oil leak sight glass,tighten sight glass,28,1
97,102,seal deterioration,rectify oil leak sight glass,28,1
98,103,seal deterioration,tighten sight glass,28,1
99,104,oil leak,rectify oil leak sight glass,28,1
100,105,oil leak,tighten sight glass,28,1
101,106,loose fixing,transformer abnormal or reflash,29,1
102,107,drycol breather,transformer abnormal or reflash,29,1
