,X1,cause,effect,doc_ind,sentence_ind
1,0,Xother,Xtransformer,1,1
2,1,Xother,Xtransformer,1,1
3,2,Xcontrol,Xtransformer,1,1
4,3,Xother,Xbreather,2,1
5,4,Xbreather,Xbreather,2,1
6,5,Xseal,Xtransformer,3,1
7,6,Xcontrol,Xtransformer,3,1
8,7,Xlevellow,Xtransformer,4,1
9,8,Xlevelinc,Xtransformer,4,1
10,9,Xother,Xtransformer,5,1
11,10,Xind,Xtransformer,5,1
12,11,Xind,Xtransformer,5,1
13,12,Xlevellow,Xtransformer,6,1
14,13,Xlevellow,Xtransformer,6,1
15,14,Xlevelinc,Xtransformer,6,1
16,15,Xlevelinc,Xtransformer,6,1
17,16,Xseal,Xtransformer,7,1
18,17,Xseal,Xtransformer,7,1
19,20,Xother,Xbreather,8,1
20,21,Xother,Xbreather,8,1
21,22,Xcontrol,Xbreather,8,1
22,23,Xother,Xmaint,9,1
23,24,Xbreather,Xmaint,9,1
24,25,Xother,Xmaint,10,1
25,26,Xbreather,Xmaint,10,1
26,27,Xseal,Xmaint,11,1
27,28,Xbreather,Xmaint,11,1
28,29,Xseal,Xmaint,12,1
29,30,Xbreather,Xmaint,12,1
30,31,Xtransformer,Xmaint,12,1
31,32,Xbreather,Xmaint,12,1
32,33,Xtransformer,Xbreather,12,1
33,34,Xtransformer,Xmaint,12,1
34,35,Xseal,Xtransformer,12,1
35,36,Xseal,Xbreather,12,1
36,37,Xseal,Xmaint,12,1
37,38,Xbreather,Xtransformer,12,1
38,39,Xbreather,Xbreather,12,1
39,40,Xbreather,Xmaint,12,1
40,41,Xtemp,Xalarm,13,1
41,42,Xlevellow,Xtemp,13,1
42,43,Xlevellow,Xalarm,13,1
43,44,Xlevelinc,Xtemp,13,1
44,45,Xlevelinc,Xalarm,13,1
45,46,Xtransformer,Xlevellow,14,1
46,47,Xtransformer,Xlevellow,14,1
47,49,Xlevellow,Xtransformer,14,1
48,50,Xlevellow,Xlevellow,14,1
49,51,Xlevelinc,Xlevellow,14,1
50,52,Xlevelinc,Xtransformer,14,1
51,53,Xlevelinc,Xlevellow,14,1
52,55,Xlevellow,Xlevelinc,15,1
53,56,Xlevellow,Xtransformer,16,1
54,57,Xlevellow,Xalarm,16,1
55,58,Xlevelinc,Xtransformer,16,1
56,59,Xlevelinc,Xalarm,16,1
