,fail,temperature,seal,pipe,system,level,leak,alarm,sight.glass,buchholz,transformer,action,failtime,machine,pick,revise.fail,remedy,doc.id
121,0,2,2,2,2,1,0,1,0,0,1,2,486,1,,,,1
56,1,2,2,2,2,1,0,1,0,0,0,2,338,1,,,,2
231,0,2,2,2,2,1,0,1,0,0,1,2,35,4,,,,3
87,0,2,2,2,2,1,0,1,0,0,1,2,236,4,,,,4
73,1,2,2,2,2,1,0,1,2,2,2,2,2,4,train,0,routine,5
49,1,2,2,2,2,1,0,1,0,0,1,2,31,4,test,1,,6
45,1,2,2,2,2,1,0,1,0,0,1,2,19,4,,,,7
25,0,2,2,2,2,1,0,1,0,0,1,2,34,4,,,,8
5,1,0,0,0,1,1,0,0,1,0,1,2,166,6,,,,9
63,0,2,2,2,2,0,1,1,2,2,2,2,638,7,,,,10
263,1,2,2,2,2,1,0,1,0,0,1,2,19,9,,,,11
219,1,2,2,2,2,1,0,1,0,0,0,identification report,278,10,,,,12
54,1,2,2,2,2,1,0,1,2,2,2,2,75,11,,,,13
280,1,0,1,0,0,0,1,0,2,2,2,add oil,135,11,train,1,random,14
75,1,0,1,0,0,0,1,0,2,2,2,add oil,213,11,test,1,,15
14,0,2,2,2,2,1,0,1,2,2,2,setting oil level,118,13,train,1,random,16
34,1,2,2,2,2,1,0,1,0,0,0,2,94,13,test,1,,17
64,1,2,2,2,2,1,0,1,2,2,2,add oil,81,15,train,1,perfect,18
358,1,2,2,2,2,0,1,0,1,0,0,2,138,15,test,1,,19
9,1,2,2,2,2,1,0,1,2,2,2,add oil,85,15,,,,20
83,1,2,2,2,2,1,0,1,2,2,2,add oil,315,16,,,,21
15,1,2,2,2,2,1,0,1,2,2,2,oil remove maintenance,185,18,,,,22
272,1,2,2,2,2,1,0,1,2,2,2,add oil,190,20,,,,23
39,1,2,2,2,2,1,0,1,2,2,2,add oil,32,20,,,,24
59,0,2,2,2,2,1,0,1,2,2,2,add oil,18,21,,,,25
71,0,2,2,2,2,1,0,1,2,2,2,add oil,136,22,,,,26
130,0,2,2,2,2,1,0,1,2,2,2,add oil,18,22,,,,27
220,1,0,1,0,0,0,1,0,2,2,2,tighten valve,572,25,train,1,random,28
16,1,0,1,0,0,0,1,0,2,2,2,tighten valve,572,25,test,1,,29
42,0,2,2,2,2,1,0,1,2,2,2,2,346,28,,,,30
66,0,2,2,2,2,1,0,1,0,0,1,2,78,28,,,,31
174,0,2,2,2,2,1,0,1,0,0,1,2,35,28,,,,32
109,0,2,2,2,2,1,0,1,0,0,1,2,44,28,,,,33
70,0,2,2,2,2,1,0,1,2,2,2,add oil,4,29,,,,34
173,1,0,1,0,0,0,1,0,0,1,0,tighten sight glass screw,109,31,train,1,perfect,35
257,1,2,2,2,2,1,0,1,0,0,0,2,14,34,test,1,,36
122,1,2,2,2,2,1,0,1,0,0,1,2,10,35,,,,37
111,0,0,0,0,1,1,0,1,2,2,2,add oil,123,37,train,1,random,38
6,0,2,2,2,2,1,0,1,2,2,2,add oil,69,37,test,1,,39
200,1,2,2,2,2,1,0,1,0,0,0,2,14,39,,,,40
36,0,2,2,2,2,0,1,1,0,0,1,2,111,40,train,1,random,41
48,1,2,2,2,2,1,0,1,2,2,2,2,489,40,test,1,,42
171,1,2,2,2,2,1,0,1,2,2,2,add oil,320,41,,,,43
132,0,2,2,2,2,1,0,1,2,2,2,add oil,231,42,,,,44
157,1,2,2,2,2,1,0,1,2,2,2,add oil,174,45,train,1,random,45
32,0,2,2,2,2,1,0,1,0,1,0,2,122,45,test,1,,46
23,0,0,1,0,0,0,1,1,2,2,2,2,289,45,,,,47
19,1,0,0,0,1,1,0,1,2,2,2,maintenance,169,46,,,,48
50,0,2,2,2,2,1,0,1,0,0,1,2,133,46,train,1,random,49
101,0,2,2,2,2,1,0,1,2,2,2,2,100,46,,,,50
44,1,2,2,2,2,1,0,1,2,2,2,2,59,46,test,1,,51
12,0,2,2,2,2,1,0,1,2,2,2,add oil,36,46,,,,52
177,0,2,2,2,2,0,1,1,2,2,2,rectify outage,9,47,test,1,,53
107,0,0,1,0,0,0,1,1,2,2,2,2,293,47,train,1,random,54
210,0,2,2,2,2,1,0,1,2,2,2,2,8,48,train,0,routine,55
314,0,2,2,2,2,1,0,1,2,2,2,2,1,48,,,,56
108,1,2,2,2,2,1,0,1,2,2,2,check oil level,5,48,test,1,,57
21,1,2,2,2,2,1,0,1,2,2,2,add oil,75,48,,,,58
172,1,2,2,2,2,1,0,1,2,2,2,add oil,104,49,,,,59
92,0,2,2,2,2,1,0,1,2,2,2,2,366,53,,,,60
18,0,2,2,2,2,1,0,1,2,2,2,add oil tank,367,56,,,,61
27,1,2,2,2,2,1,0,1,2,2,2,check oil level,5,58,train,0,routine,62
10,0,2,2,2,2,1,0,1,2,2,2,check oil level,5,58,test,1,,63
46,0,0,1,0,0,1,0,0,1,0,0,2,562,58,train,1,random,64
11,0,2,2,2,2,1,0,1,0,0,1,investigate,226,58,test,1,,65
17,0,0,0,0,1,0,0,1,1,0,0,report oil level,192,59,,,,66
24,0,2,2,2,2,1,0,1,0,0,0,2,112,61,,,,67
99,0,2,2,2,2,1,0,1,2,2,2,2,73,61,,,,68
155,0,2,2,2,2,1,0,1,2,2,2,reset,545,62,train,1,perfect,69
192,1,2,2,2,2,1,0,1,0,0,1,2,70,65,test,1,,70
445,0,2,2,2,2,1,0,1,2,2,2,2,374,65,,,,71
31,0,2,2,2,2,1,0,1,0,0,1,2,295,65,,,,72
113,0,2,2,2,2,1,0,1,2,2,2,2,175,65,,,,73
26,1,1,0,0,0,0,1,1,2,2,2,2,157,67,,,,74
123,1,2,2,2,2,1,0,1,2,2,2,add oil tank,159,67,,,,75
97,1,2,2,2,2,1,0,1,2,2,2,add oil,4,67,,,,76
194,1,2,2,2,2,1,0,1,2,2,2,add oil,207,67,,,,77
37,1,2,2,2,2,0,0,1,0,1,0,check oil level,1383,68,train,0,routine,78
120,0,2,2,2,2,0,1,1,2,2,2,add oil,77,68,test,1,,79
145,1,2,2,2,2,1,0,1,2,2,2,add oil,421,69,,,,80
388,0,2,2,2,2,1,0,1,2,2,2,2,252,69,,,,81
85,0,2,2,2,2,1,0,1,2,2,2,2,8,69,,,,82
4,0,2,2,2,2,1,0,1,2,2,2,add oil,18,69,,,,83
74,1,2,2,2,2,1,0,1,2,2,2,add oil,160,71,,,,84
1,0,2,2,2,2,1,0,1,2,2,2,2,65,71,,,,85
58,1,2,2,2,2,1,0,1,2,2,2,add oil,482,72,,,,86
190,0,2,2,2,2,1,0,1,0,0,1,2,24,73,,,,87
33,1,2,2,2,2,1,0,1,2,2,2,2,419,73,,,,88
403,0,2,2,2,2,1,0,1,2,2,2,2,111,73,,,,89
116,0,2,2,2,2,1,0,1,2,2,2,2,58,75,,,,90
57,0,2,2,2,2,1,0,1,0,0,1,2,200,75,,,,91
8,0,2,2,2,2,1,0,1,2,2,2,add oil,297,77,,,,92
500,1,2,2,2,2,1,0,1,0,0,1,2,5,78,,,,93
22,0,2,2,2,2,1,0,1,2,2,2,add oil,75,78,,,,94
13,1,2,2,2,2,1,0,1,2,2,2,add oil,125,79,,,,95
151,1,2,2,2,2,1,0,1,2,2,2,2,976,83,,,,96
51,0,2,2,2,2,1,0,1,2,2,2,2,674,91,,,,97
3,1,0,1,0,0,1,0,0,2,2,2,2,170,95,train,1,random,98
55,1,2,2,2,2,1,0,1,2,2,2,add oil,108,99,test,1,,99
189,1,0,0,0,1,1,0,1,0,0,1,order,382,100,train,1,random,100
38,0,2,2,2,2,1,0,1,2,2,2,2,325,105,test,1,,101
68,0,0,0,0,1,1,0,1,2,2,2,maintenance,169,106,train,1,perfect,102
7,0,0,1,0,0,1,0,0,1,0,0,2,153,106,test,1,,103
2,1,0,1,0,0,0,1,0,0,0,1,2,596,108,train,1,random,104
150,0,0,1,0,0,1,0,0,1,0,0,2,29,108,test,1,,105
143,1,2,2,2,2,1,0,1,0,0,1,2,29,109,,,,106
218,0,2,2,2,2,1,0,1,0,0,1,2,35,109,,,,107
72,0,2,2,2,2,1,0,1,2,2,2,add oil,131,110,,,,108
211,0,2,2,2,2,1,0,1,2,2,2,2,91,112,,,,109
96,0,2,2,2,2,1,0,1,2,2,2,check oil level,5,112,,,,110
396,0,2,2,2,2,1,0,1,2,2,2,2,790,115,,,,111
